#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
YL|B12|-19.5012|-176.701401|-2335.0|LDEO Deep OBS B12|2009-11-29T00:00:00|2010-11-25T23:59:59
YL|B13|-19.2906|-177.268997|-2077.0|LDEO Deep OBS B13|2009-11-30T00:00:00|2010-11-24T23:59:59
YL|B14W|-19.0427|-177.987701|-2219.0|WHOI OBS ID S68|2009-11-27T00:00:00|2010-11-24T23:59:59
YL|C01W|-20.5308|-175.220398|-1655.0|WHOI OBS ID S70|2009-11-26T00:00:00|2010-11-28T23:59:59
YL|C02|-20.408899|-175.643494|-2062.0|LDEO Deep OBS C02|2009-11-27T00:00:00|2010-11-27T23:59:59
YL|C03W|-20.941401|-175.716705|-2084.0|WHOI OBS ID S30|2009-11-25T00:00:00|2010-12-02T23:59:59
YL|C04|-20.183599|-175.9198|-2197.0|LDEO Deep OBS C04|2009-11-25T00:00:00|2010-12-03T23:59:59
YL|C05W|-20.6012|-175.951904|-2289.0|WHOI OBS ID S59|2009-11-25T00:00:00|2010-12-03T23:59:59
YL|C06|-20.947701|-176.054703|-2406.0|LDEO Deep OBS C06|2009-11-26T00:00:00|2010-12-02T23:59:59
YL|C07W|-19.992201|-176.097397|-2648.0|WHOI OBS ID S23|2009-11-24T00:00:00|2010-12-03T23:59:59
YL|C08W|-20.2521|-176.117096|-2785.0|WHOI OBS ID S14|2009-11-24T00:00:00|2010-12-03T23:59:59
YL|C09W|-20.5511|-176.149796|-2537.0|WHOI OBS ID S61|2009-11-24T00:00:00|2010-12-03T23:59:59
YL|C10W|-20.771099|-176.194794|-2162.0|WHOI OBS ID S27|2009-11-25T00:00:00|2010-12-02T23:59:59
YL|C11W|-21.030899|-176.255005|-2214.0|WHOI OBS ID S42|2009-11-25T00:00:00|2010-12-02T23:59:59
YL|C12|-20.058201|-176.2854|-2587.0|LDEO Deep OBS C12|2009-11-25T00:00:00|2010-12-03T23:59:59
YL|C13|-20.4536|-176.358093|-2280.0|LDEO Deep OBS C13|2009-11-26T00:00:00|2010-12-03T23:59:59
YL|C15|-20.048|-176.715195|-2512.0|LDEO Deep OBS C15|2009-11-25T00:00:00|2010-12-01T23:59:59
YL|C16W|-20.5704|-176.828903|-2213.0|WHOI OBS ID S22|2009-11-24T00:00:00|2010-12-01T23:59:59
YL|C17W|-20.1308|-177.259796|-2822.0|WHOI OBS ID S73|2009-11-23T00:00:00|2010-12-01T23:59:59
YL|F01|-20.795|-173.913193|-3852.0|LDEO Deep OBS F01|2009-11-21T00:00:00|2010-11-24T23:59:59
YL|F02W|-21.349199|-174.438797|-2602.0|WHOI OBS ID S74|2009-11-20T00:00:00|2010-11-28T23:59:59
YL|N01W|-19.0243|-175.485504|-2325.0|WHOI OBS ID S45|2009-11-27T00:00:00|2010-11-26T23:59:59
YL|N02W|-18.749001|-176.403198|-2717.0|WHOI OBS ID S48|2009-11-28T00:00:00|2010-11-25T23:59:59
YL|N03W|-18.4034|-177.034897|-2304.0|WHOI OBS ID S65|2009-11-28T00:00:00|2010-11-25T23:59:59
YL|S01W|-21.951799|-176.039307|-1980.0|WHOI OBS ID S71|2009-11-22T00:00:00|2010-11-29T23:59:59
YL|S02W|-21.799101|-176.897995|-2043.0|WHOI OBS ID S66|2009-11-23T00:00:00|2010-11-30T23:59:59
YS|PL01|20.0889|-154.617798|-5580.0|WHOI OBS ID S08|2005-01-05T00:00:00|2006-01-15T23:59:59
YS|PL02|20.499901|-154.9375|-5065.0|WHOI OBS ID S19|2005-01-06T00:00:00|2006-01-15T23:59:59
YS|PL03|21.2055|-155.679398|-5144.0|WHOI OBS ID S31|2005-01-06T00:00:00|2006-01-17T23:59:59
YS|PL04|22.289801|-155.595093|-4515.0|Site_04|2005-01-09T00:00:00|2006-01-09T23:59:59
YS|PL05|21.507|-154.9944|-5196.0|WHOI OBS ID S39|2005-01-07T00:00:00|2006-01-14T23:59:59
YS|PL06|21.0019|-154.482803|-5373.0|Site_06|2005-01-09T00:00:00|2006-01-09T23:59:59
YS|PL07|21.519699|-153.982697|-4912.0|WHOI OBS ID S13|2005-01-08T00:00:00|2006-01-15T23:59:59
YS|PL08|20.892599|-153.292099|-5157.0|WHOI OBS ID S28|2005-01-08T00:00:00|2006-01-15T23:59:59
YS|PL10|19.979099|-153.902405|-5336.0|WHOI OBS ID S30|2005-01-09T00:00:00|2006-01-15T23:59:59
YS|PL11|19.495199|-153.503204|-5181.0|WHOI OBS ID S33|2005-01-08T00:00:00|2006-01-17T23:59:59
YS|PL12|19.5063|-154.017105|-5385.0|Site_12|2005-01-11T00:00:00|2006-01-13T23:59:59
YS|PL13|19.262501|-154.393997|-5515.0|WHOI OBS ID S06|2005-01-11T00:00:00|2006-01-18T23:59:59
YS|PL14|18.7976|-153.992294|-5252.0|WHOI OBS ID S34|2005-01-11T00:00:00|2006-01-18T23:59:59
YS|PL15|18.8009|-153.295898|-5077.0|WHOI OBS ID S23|2005-01-12T00:00:00|2006-01-17T23:59:59
YS|PL17|18.4814|-152.132401|-5184.0|WHOS OBS ID S11|2005-01-11T00:00:00|2006-01-19T23:59:59
YS|PL18|17.9062|-153.290604|-4938.0|WHOI OBS ID S37|2005-01-12T00:00:00|2006-01-20T23:59:59
YS|PL19|16.711901|-153.407806|-5163.0|Site_19|2005-01-16T00:00:00|2006-01-17T23:59:59
YS|PL20|17.297501|-153.700806|-5120.0|WHOI OBS ID S38|2005-01-15T00:00:00|2006-01-21T23:59:59
YS|PL21|17.180099|-154.691299|-4993.0|Site_21|2005-01-17T00:00:00|2006-01-17T23:59:59
YS|PL22|17.9884|-154.030502|-5057.0|WHOI OBSIP ID S05|2005-01-15T00:00:00|2006-01-19T23:59:59
YS|PL23|18.401699|-154.495895|-5167.0|WHOI OBS ID S14|2005-01-14T00:00:00|2006-01-23T23:59:59
YS|PL24|18.803101|-154.797394|-5319.0|WHOI OBS ID S01|2005-01-14T00:00:00|2006-01-22T23:59:59
YS|PL26|17.9757|-155.002594|-4997.0|WHOI OBS ID S42|2005-01-16T00:00:00|2005-07-02T23:59:59
YS|PL27|18.000299|-155.714996|-5099.0|WHOI OBS ID S03|2005-01-16T00:00:00|2006-01-22T23:59:59
YS|PL28|17.6028|-156.499802|-4792.0|Site_28|2005-01-18T00:00:00|2006-01-19T23:59:59
YS|PL29|18.4042|-156.808197|-4627.0|WHOI OBS ID S40|2005-01-17T00:00:00|2006-01-24T23:59:59
YS|PL30|18.301001|-156.167007|-5091.0|WHOI OBS ID S20|2005-01-18T00:00:00|2006-01-24T23:59:59
YS|PL31|18.775|-156.465103|-4610.0|WHOI OBS ID S48|2005-01-18T00:00:00|2006-01-24T23:59:59
YS|PL32|18.9848|-157.227295|-4604.0|Site_32|2005-01-19T00:00:00|2006-01-20T23:59:59
YS|PL33|19.477699|-156.510101|-4707.0|WHOI OBS ID S46|2005-01-19T00:00:00|2006-01-24T23:59:59
YS|PL34|19.832701|-156.932007|-4748.0|WHOI OBS ID S10|2005-01-19T00:00:00|2006-01-24T23:59:59
YS|PL35|20.3461|-157.627594|-4650.0|WHOI OBS ID S25|2005-01-10T00:00:00|2006-01-24T23:59:59
YS|PL36|21.298401|-158.903|-4762.0|WHOI OBS ID S37|2006-04-11T00:00:00|2007-05-14T23:59:59
YS|PL37|19.8234|-160.047501|-4676.0|WHOI OBS ID S06|2006-04-12T00:00:00|2007-06-06T23:59:59
YS|PL38|19.9863|-162.025604|-4897.0|Bunny|2006-04-15T00:00:00|2007-06-05T23:59:59
YS|PL39|21.956301|-161.314896|-4543.0|WHOI OBS ID S33|2006-04-14T00:00:00|2007-05-14T23:59:59
YS|PL40|23.9972|-161.095001|-4691.0|Brah|2006-04-16T00:00:00|2007-05-13T23:59:59
YS|PL41|24.573799|-158.933105|-4749.0|WHOI OBS ID S01|2006-04-16T00:00:00|2007-05-15T23:59:59
YS|PL43|26.776699|-155.765305|-5545.0|WHOI OBS ID S48|2006-04-18T00:00:00|2007-05-17T23:59:59
YS|PL44|25.5928|-152.765793|-5420.0|WHOI OBS ID S40|2006-04-18T00:00:00|2007-05-18T23:59:59
YS|PL45|24.2006|-154.811996|-4686.0|WHOI OBS ID S03|2006-04-19T00:00:00|2007-05-19T23:59:59
YS|PL46|24.312099|-156.9646|-4428.0|WHOI OBS ID S14|2006-04-20T00:00:00|2007-05-19T23:59:59
YS|PL47|22.620199|-158.185394|-4830.0|Mercy|2006-04-22T00:00:00|2007-05-18T23:59:59
YS|PL48|22.2999|-155.6362|-4528.0|WHOI OBS ID S38|2006-04-22T00:00:00|2007-05-20T23:59:59
YS|PL49|21.168699|-154.251801|-5173.0|Rosco|2006-04-24T00:00:00|2007-05-19T23:59:59
YS|PL50|22.319901|-152.742706|-5021.0|WHOI OBS ID S10|2006-04-24T00:00:00|2007-05-21T23:59:59
